Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OL414728,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0023_2019-07-29,Dengue virus,ssRNA(+),10713,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414729,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0019_2019-07-26,Dengue virus,ssRNA(+),10636,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414730,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0003_2019-07-24,Dengue virus,ssRNA(+),10687,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414731,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0389_2020-09-04,Dengue virus,ssRNA(+),10694,Cambodia,Cambodia,,Homo sapiens,blood,2020-09
OL414732,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0376_2020-08-28,Dengue virus,ssRNA(+),10642,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414733,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0350_2020-08-10,Dengue virus,ssRNA(+),10695,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414734,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0298_2020-06-30,Dengue virus,ssRNA(+),10568,Cambodia,Cambodia,,Homo sapiens,blood,2020-06
OL414735,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0295_2020-06-18,Dengue virus,ssRNA(+),10620,Cambodia,Cambodia,,Homo sapiens,blood,2020-06
OL414736,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0294_2020-06-17,Dengue virus,ssRNA(+),10600,Cambodia,Cambodia,,Homo sapiens,blood,2020-06
OL414737,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.",,,2021-11-14T00:00:00Z,100-0477_2019-06-20,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-06
OL414738,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0428_2019-07-19,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-06
OL414739,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0427_2019-07-23,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414740,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0405_2019-06-27,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-06
OL414741,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0277_2019-07-23,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414742,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0153_2019-06-23,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-06
OL414743,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0072_2019-04-04,Dengue virus,ssRNA(+),10573,Cambodia,Cambodia,,Homo sapiens,blood,2019-05
OL414744,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0039_2019-07-15,Dengue virus,ssRNA(+),10573,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414745,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0045_2019-08-06,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-08
OL414746,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.",,,2021-11-14T00:00:00Z,109-0292_2020-06-16,Dengue virus,ssRNA(+),10569,Cambodia,Cambodia,,Homo sapiens,blood,2020-06
OL414747,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0034_2019-08-20,Dengue virus,ssRNA(+),10572,Cambodia,Cambodia,,Homo sapiens,blood,2019-08
OL414749,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0293_2020-06-17,Dengue virus,ssRNA(+),10608,Cambodia,Cambodia,,Homo sapiens,blood,2020-06
OL414750,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0304_2020-07-05,Dengue virus,ssRNA(+),10693,Cambodia,Cambodia,,Homo sapiens,blood,2020-07
OL414751,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0318_2020-07-14,Dengue virus,ssRNA(+),10713,Cambodia,Cambodia,,Homo sapiens,blood,2020-07
OL414752,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0334_2020-07-29,Dengue virus,ssRNA(+),10714,Cambodia,Cambodia,,Homo sapiens,blood,2020-07
OL414753,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0352_2020-08-09,Dengue virus,ssRNA(+),10693,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414754,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0353_2020-08-10,Dengue virus,ssRNA(+),10691,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414755,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0363_2020-08-13,Dengue virus,ssRNA(+),10100,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414756,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0377_2020-08-29,Dengue virus,ssRNA(+),10696,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414757,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0384_2020-09-01,Dengue virus,ssRNA(+),10711,Cambodia,Cambodia,,Homo sapiens,blood,2020-09
OL414758,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0408_2020-09-23,Dengue virus,ssRNA(+),10623,Cambodia,Cambodia,,Homo sapiens,blood,2020-09
OL414759,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0432_2019-06-28,Dengue virus,ssRNA(+),10695,Cambodia,Cambodia,,Homo sapiens,blood,2019-06
OL414760,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,100-0215_2019-08-16,Dengue virus,ssRNA(+),10674,Cambodia,Cambodia,,Homo sapiens,blood,2019-08
OL414761,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0020_2019-07-26,Dengue virus,ssRNA(+),10675,Cambodia,Cambodia,,Homo sapiens,blood,2019-08
OL414762,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0001_2019-07-23,Dengue virus,ssRNA(+),10569,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL414763,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0039_2019-08-02,Dengue virus,ssRNA(+),10695,Cambodia,Cambodia,,Homo sapiens,blood,2019-08
OL414764,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0372_2020-08-27,Dengue virus,ssRNA(+),10638,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL414765,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0349_2020-08-10,Dengue virus,ssRNA(+),10322,Cambodia,Cambodia,,Homo sapiens,blood,2020-08
OL420733,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-14T00:00:00Z,109-0008,Dengue virus,ssRNA(+),10703,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
OL412740,"Bohl,J.A., Manning,J.E., Lay,S., Chea,S., Brooks,C., Ahyong,V.","Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR",USA,2021-11-13T00:00:00Z,100-0670_2019-07-30,Dengue virus,ssRNA(+),10697,Cambodia,Cambodia,,Homo sapiens,blood,2019-07
MN602605,"Ngwe Tun,M.M., Muthugala,R., Nabeshima,T., Soe,A.M., Rajamanthri,L., Jayawardana,D., Attanayake,S., Inoue,S., Morita,K.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-25T00:00:00Z,N-189/Sri/2017,Dengue virus,ssRNA(+),1485,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-11
OK559627,"Chen,Y.","Center for Disease Prevention and Control of the Southern Theatre Command of the PLA, biological safety section",China,2021-10-25T00:00:00Z,guangzhou2019-4,Dengue virus,ssRNA(+),10714,China,China,,Homo sapiens,blood,2019-09-26
MN577545,"Ngwe Tun,M.M.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-16T00:00:00Z,CSF1,Dengue virus,ssRNA(+),10176,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-06
MN577546,"Ngwe Tun,M.M.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-16T00:00:00Z,CSF4,Dengue virus,ssRNA(+),10176,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-08
MN577547,"Ngwe Tun,M.M.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-16T00:00:00Z,N-252,Dengue virus,ssRNA(+),10176,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-06
MN577548,"Ngwe Tun,M.M.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-16T00:00:00Z,N-256,Dengue virus,ssRNA(+),10176,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-07
MN577549,"Ngwe Tun,M.M.","Institute of Tropical Medicine, Nagasaki Univ, Department of Virolgy",Japan,2021-10-16T00:00:00Z,N-257,Dengue virus,ssRNA(+),10176,Sri Lanka,Sri Lanka,,Homo sapiens,,2017-08
MZ636761,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-PW12,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-11-25
MZ636762,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-PW14,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-12-01
MZ636763,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-14,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-05-14
MZ636764,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-15,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-05-21
MZ636765,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-16,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-05-22
MZ636766,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-33,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-07-05
MZ636767,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-36,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-07-13
MZ636768,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-47,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-08-13
MZ636769,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-TM18-66,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-09-17
MZ636770,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM18-86,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2018-11-16
MZ636771,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-11,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-19
MZ636772,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-16,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-19
MZ636773,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-19,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-20
MZ636774,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-23,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-21
MZ636775,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-29,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-25
MZ636776,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-31,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-26
MZ636777,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-32,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-26
MZ636778,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-35,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-11-27
MZ636779,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-42,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-01
MZ636780,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-TM19-43,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-03
MZ636781,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-46,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-05
MZ636782,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-TM19-63,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-16
MZ636783,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-73,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-28
MZ636784,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM19-81,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2019-12-31
MZ636785,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM20-11,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2020-01-12
MZ636786,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-TM20-33,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2020-07-27
MZ636787,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM20-36,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2020-08-03
MZ636788,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2C-TM20-37,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2020-08-08
MZ636789,"Poltep,K., Phadungsombat,J., Nakayama,E.E., Kosoltanapiwat,N., Hanboonkunupakarn,B., Wiriyarat,W., Shioda,T., Leaungwutiwong,P.","Mahidol-Osaka Center for Infectious Diseases (MOCID), Faculty of Tropical Medicine, Mahidol University",Thailand,2021-10-08T00:00:00Z,DV2A-TM20-43,Dengue virus,ssRNA(+),1485,Thailand: Bangkok,Thailand,,Homo sapiens,blood,2020-08-16
